batch_ms_max,batch_ms_mean,batch_ms_min,batch_ms_p50,batch_ms_p90,batches,batches_per_sec,compile_first_call_sec,epoch,jit_enabled,jit_experimental_conv_bn_fusion,loss_samples,peak_cupy_pool_used_mb,peak_gpu_used_mb,peak_process_rss_mb,phase,run_name,sampled_loss,samples,samples_per_sec,time_sec,train_fusion,training_forward_graph_executor,true_training
560.4205999999999,245.7877249237029,134.04569999997307,240.52229999998076,269.78493999999955,983,4.024495407772955,,1,False,False,50,865.1884765625,2666.5,563.81640625,train,train_eager_original,0.057284526797011494,7860,32.17958688209097,244.2542233,False,False,True
274.3848000000071,235.92499420142383,128.37440000004108,233.79499999998643,252.06969999997,983,4.1908529205233105,,2,False,False,50,1559.69921875,3266.5,564.30859375,train,train_eager_original,0.026551537638297304,7860,33.50977004609687,234.55845829999998,False,False,True
277.9358999999886,233.5554087487279,142.57869999994455,233.16429999999855,248.04184000001896,983,4.233225979110081,,3,False,False,50,1559.69921875,3266.5,551.74609375,train,train_eager_original,0.01694050612510182,7860,33.84858209135833,232.21061310000005,False,False,True
276.4432999999826,232.60768952187306,147.45880000009493,230.33619999989696,250.82337999992887,983,4.249913218112343,,4,False,False,50,865.1884765625,3266.5,552.37109375,train,train_eager_original,0.008072067674947902,7860,33.982012100064104,231.29884060000006,False,False,True
265.7587999999578,229.8470451678557,141.6682999999921,229.35759999995753,245.15738000004603,983,4.300589542445582,,5,False,False,50,865.1884765625,3266.5,552.99609375,train,train_eager_original,0.006040474576875568,7860,34.38721648384768,228.57331310000006,False,False,True
492.54289999998946,223.11455645982207,134.86910000005992,221.86009999995804,234.71392000005835,983,4.428548323661561,,1,False,False,50,1611.52880859375,3300.5,557.86328125,train,train_eager_dynamic_fused,0.06059275684412569,7860,35.410366046775046,221.96889999999985,True,False,True
270.52099999991697,223.43023652085728,127.88959999988947,222.07490000005237,241.31192000013473,983,4.422405053194951,,2,False,False,50,650.96142578125,3300.5,557.6953125,train,train_eager_dynamic_fused,0.02416125382995233,7860,35.36124488109086,222.2772424000002,True,False,True
256.8323999998938,217.90277416072698,120.5360000001292,217.09340000006705,232.51812000003156,983,4.533436981753469,,3,False,False,50,650.96142578125,3300.5,558.3203125,train,train_eager_dynamic_fused,0.01702313930960372,7860,36.24904850110098,216.83327770000005,True,False,True
270.58290000013585,225.0546682604271,119.49050000021089,223.50230000006377,243.90478000004805,983,4.3910249570791535,,4,False,False,50,650.96142578125,3300.5,558.9453125,train,train_eager_dynamic_fused,0.007949116777163,7860,35.110331803298216,223.86572829999977,True,False,True
269.7299999999814,219.0843842319412,120.77820000013162,217.41759999986243,235.13400000010733,983,4.508597902161965,,5,False,False,50,650.96142578125,3300.5,559.46484375,train,train_eager_dynamic_fused,0.006307259696768597,7860,36.050436938955286,218.02787059999991,True,False,True
514.4052000000556,224.80039857578117,161.51559999980236,224.38830000010057,238.71941999996125,983,4.394580389055189,,1,True,True,50,3171.244140625,4932.5,561.37890625,train,train_jit_fused,0.06330556251108646,7860,35.13876079142806,223.68460989999994,False,True,True
262.7594999999019,223.06632349948333,126.71989999989819,222.51840000035372,240.28802000002543,983,4.428208343223919,,2,True,True,50,3709.3037109375,5482.5,562.8671875,train,train_jit_fused,0.025980312144383788,7860,35.40764758671415,221.98594189999994,False,True,True
267.8304000000935,220.9664795523903,129.88910000012766,219.39240000028803,237.15577999992092,983,4.470333066403519,,3,True,True,50,4094.205078125,5842.5,563.46875,train,train_jit_fused,0.01692119033075869,7860,35.74447395923872,219.89412989999983,False,True,True
262.9603999998835,224.63767527974878,138.35939999989932,224.39110000004803,241.3049000000683,983,4.397872156442347,,4,True,True,50,3709.3037109375,5842.5,564.078125,train,train_jit_fused,0.007344334176741541,7860,35.165081535744505,223.51718399999982,False,True,True
270.59049999979834,225.0286429298072,133.64899999987756,225.18380000019533,239.71748000021762,983,4.390574898384381,,5,True,True,50,3709.3037109375,5842.5,564.51953125,train,train_jit_fused,0.005659926104126498,7860,35.10673316510807,223.88867580000033,False,True,True
